typeofcrop,geometry
Paddy,POINT (78.82180849 18.287471355)
Paddy,POINT (78.82082097499999 18.2499721)
Paddy,POINT (78.82805586500002 18.195534709999997)
Paddy,POINT (78.83498345000001 18.195589335)
Paddy,POINT (78.84683999499998 18.18917026)
Paddy,POINT (78.84682078000004 18.189174545000004)
Paddy,POINT (78.849274995 18.187712405000003)
Paddy,POINT (78.84969008499999 18.188722075)
Paddy,POINT (78.85011574499997 18.186776884999993)
Paddy,POINT (79.16798874999998 18.131959999999992)
Paddy,POINT (79.16791516666666 18.13194158333333)
Paddy,POINT (79.14410133333334 18.15232575000001)
Paddy,POINT (79.14640833333331 18.15632483333333)
Paddy,POINT (78.89876841499999 18.131966589999998)
Paddy,POINT (78.928871975 18.143149865000005)
Paddy,POINT (78.93625588 18.146448980000002)
Paddy,POINT (78.948340725 18.15006487)
Paddy,POINT (78.95079890000001 18.15264972)
Paddy,POINT (78.95203643999997 18.151605080000003)
Paddy,POINT (78.961731055 18.15410998000001)
Paddy,POINT (79.10437758333333 18.164980083333337)
Paddy,POINT (78.968869335 18.161576075)
Paddy,POINT (78.973412255 18.1629769)
Paddy,POINT (78.97991997499999 18.166184999999995)
Paddy,POINT (78.99002520999998 18.17535408)
Paddy,POINT (79.12507441666666 18.14586966666667)
Paddy,POINT (78.99052221500001 18.176231254999998)
Paddy,POINT (79.23749238000002 18.01381808)
Paddy,POINT (79.13108741666669 18.12161266666667)
Paddy,POINT (79.00378776500001 18.200486925)
Paddy,POINT (79.003779095 18.200478125000004)
Paddy,POINT (78.99998719999999 18.206718274999997)
Paddy,POINT (79.00045982499998 18.21062446)
Paddy,POINT (79.00287882 18.214237475)
Paddy,POINT (79.00759817 18.2045489)
Paddy,POINT (79.00653580999997 18.202004645000002)
Paddy,POINT (79.01797832999999 18.21160004)
Paddy,POINT (79.017969135 18.211597949999994)
Paddy,POINT (79.01436592499996 18.233076044999997)
Paddy,POINT (79.011876755 18.235657565)
Paddy,POINT (79.01386848000001 18.239005009999996)
Paddy,POINT (79.01351716500001 18.243463735)
Paddy,POINT (79.02640349500001 18.254856295000003)
Paddy,POINT (79.02641527 18.25484215)
Paddy,POINT (79.03423300999997 18.253479909999996)
Paddy,POINT (79.03908285000001 18.25430024)
Paddy,POINT (79.04336307 18.252994335000004)
Paddy,POINT (79.04335458000003 18.25298828)
Paddy,POINT (79.046271285 18.2497145)
Paddy,POINT (79.05082195 18.248319294999998)
Paddy,POINT (79.13502166666669 18.10783333333334)
Paddy,POINT (79.10852333333332 18.109028500000008)
Paddy,POINT (79.10169766666664 18.11558691666667)
Paddy,POINT (78.11297427999997 18.341711200000002)
Paddy,POINT (78.12144599999999 18.348374760000006)
Paddy,POINT (79.08920258333333 18.168694166666672)
Paddy,POINT (79.07983341666663 18.16237325)
Paddy,POINT (79.07828575000002 18.156352000000005)
Paddy,POINT (79.0782993333333 18.15636733333333)
Paddy,POINT (79.07432541666662 18.12266299999999)
Paddy,POINT (79.06758608333334 18.119129499999993)
Paddy,POINT (79.09197141666667 18.09938583333333)
Paddy,POINT (79.09194825 18.099392583333337)
Paddy,POINT (79.07969205999999 18.105929345)
Paddy,POINT (78.04494513 18.299175515)
Paddy,POINT (78.04493911499999 18.299179564999996)
Paddy,POINT (78.04786058500001 18.291400959999994)
Paddy,POINT (78.04969221 18.283737439999996)
Paddy,POINT (78.06106386 18.280928435000003)
Paddy,POINT (78.063124475 18.26325447)
Paddy,POINT (78.06002138500001 18.254716064999993)
Paddy,POINT (78.058716145 18.246834460000002)
Paddy,POINT (78.06166688000002 18.238878055)
Paddy,POINT (79.07748511500002 18.09884823499999)
Paddy,POINT (78.099408985 18.238053195)
Paddy,POINT (79.064121975 18.019128509999998)
Paddy,POINT (78.10808448 18.236357455)
Paddy,POINT (79.06533015999999 18.005875725000003)
Paddy,POINT (78.10890171500002 18.261816239999998)
Paddy,POINT (79.06532794999997 18.005876469999993)
Paddy,POINT (78.108905065 18.261824305)
Paddy,POINT (79.02525452 17.958555534999995)
Paddy,POINT (78.114621885 18.290491710000005)
Paddy,POINT (78.11462342000002 18.290501485)
Paddy,POINT (78.11281065499999 18.298999679999994)
Paddy,POINT (79.04000740000001 17.94323394)
