geometry,typeofcrop
POINT (76.387506425 28.385244090000004),Mustard
POINT (76.61481991500001 28.129761214999995),Mustard
POINT (76.38702287499999 28.38521214),Mustard
POINT (76.38704527000002 28.385850935000015),Mustard
POINT (76.57885298999997 28.223221205000005),Mustard
POINT (76.580625465 28.223242804999995),Mustard
POINT (76.58049435999999 28.222811939999996),Mustard
POINT (76.57913415500003 28.222805785000002),Mustard
POINT (76.60953065999999 28.24468282),Mustard
POINT (76.61081267 28.244204720000006),Mustard
POINT (76.60970002000002 28.244233350000002),Mustard
POINT (76.61125250000002 28.249033329999996),Mustard
POINT (76.61177535999998 28.249008995000008),Mustard
POINT (74.66647774500004 29.439324069999998),Mustard
POINT (76.61174478499997 28.24941782),Mustard
POINT (76.61126872499999 28.249496299999993),Mustard
POINT (76.68459949000001 28.242875789999992),Mustard
POINT (76.68464271999999 28.243401309999996),Mustard
POINT (76.68530404500001 28.243588635),Mustard
POINT (76.70077481999998 28.23784964),Mustard
POINT (76.14818860800001 28.069013271499994),Mustard
POINT (76.699866375 28.237842275000002),Mustard
POINT (76.70060207000003 28.237567924999997),Mustard
POINT (76.685042115 28.235834380000007),Mustard
POINT (76.68587222000001 28.235859845000004),Mustard
POINT (76.22396979450001 28.100176541499998),Mustard
POINT (76.68587904000003 28.236366380000003),Mustard
POINT (76.684845045 28.236330775000006),Mustard
POINT (76.27050174600001 28.089902346500004),Mustard
POINT (76.53993383000001 28.07012881),Mustard
POINT (76.63328581999998 28.230878794999995),Mustard
POINT (76.633368655 28.230651910000006),Mustard
POINT (76.63348368 28.230621405),Mustard
POINT (76.63375731500001 28.231513474999996),Mustard
POINT (76.63340273499999 28.23167249),Mustard
POINT (76.229256935 28.0906617435),Mustard
POINT (76.63811492 28.241126085),Mustard
POINT (76.638850195 28.243170905000007),Mustard
POINT (76.53735670000002 28.072970294999998),Mustard
POINT (76.63887910499997 28.243517030000003),Mustard
POINT (76.63989172 28.243547935000002),Mustard
POINT (76.16063530950001 28.0616493585),Mustard
POINT (76.54521454 28.071814795000005),Mustard
POINT (76.663539765 28.243166475),Mustard
POINT (76.66387807 28.24315113000001),Mustard
POINT (76.66396412 28.24427844),Mustard
POINT (76.663560345 28.244383639999995),Mustard
POINT (74.69883040500001 29.430916289999992),Mustard
POINT (74.72419829000002 29.42508609),Mustard
POINT (76.1045715765 28.012282183000003),Mustard
POINT (76.66632161999998 28.23495127),Mustard
POINT (76.66603487500001 28.234920969999997),Mustard
POINT (76.66603354000002 28.234022600000003),Mustard
POINT (76.10574719900002 27.99315501050001),Mustard
POINT (76.66662467499997 28.233989264999998),Mustard
POINT (74.76320039999999 29.41787018),Mustard
POINT (74.80473393500002 29.421044540000008),Mustard
POINT (76.73771880000001 28.182427445000002),Mustard
POINT (76.73769553000001 28.183003235),Mustard
POINT (76.73721229499999 28.183042985000004),Mustard
POINT (76.73693798000001 28.182716250000006),Mustard
POINT (76.74727807000002 28.17842853),Mustard
POINT (76.43786208 28.172871855),Mustard
POINT (76.74733309500002 28.179323950000004),Mustard
POINT (76.74766174499999 28.179380844999997),Mustard
POINT (76.747383555 28.17838046),Mustard
POINT (76.555319315 28.078579304999998),Mustard
POINT (76.78495014999999 28.167904185000005),Mustard
POINT (76.78463225000002 28.167886610000004),Mustard
POINT (76.78465349499999 28.168168529999996),Mustard
POINT (76.78511804 28.168156335),Mustard
POINT (76.789554175 28.1783584),Mustard
POINT (76.43648846500002 28.42460533999999),Mustard
POINT (76.43573785999999 28.424702390000004),Mustard
POINT (76.43564689999998 28.42555140500001),Mustard
POINT (76.436587895 28.425153495000007),Mustard
POINT (76.0956000055 27.914900048999993),Mustard
POINT (76.43439839499999 28.434083624999992),Mustard
POINT (76.43464415000001 28.434101825),Mustard
POINT (76.10175960349999 27.897384747500002),Mustard
POINT (76.434653615 28.434543455),Mustard
POINT (76.43464184999998 28.434772204999994),Mustard
POINT (76.43453404999998 28.434821755),Mustard
POINT (76.09103419800002 27.890756052999997),Mustard
POINT (76.43418984500002 28.434733195),Mustard
