geometry,typeofcrop
POINT (70.865548915 20.96982449500001),Wheat
POINT (70.77534212499998 20.984779259999996),Wheat
POINT (70.18275197 21.231932349999997),Wheat
POINT (72.48232515499998 24.142393820000002),WHEAT
POINT (70.63105543000002 21.592935675),WHEAT
POINT (72.510245385 24.145004969999995),WHEAT
POINT (72.55394342499999 24.14469143),WHEAT
POINT (72.615474175 24.141683760000003),WHEAT
POINT (70.881428765 20.82167451),WHEAT
POINT (72.635837265 24.141936469999997),WHEAT
POINT (72.64598841000002 24.143132714999997),WHEAT
POINT (72.69645692 24.152409659999996),WHEAT
POINT (70.94042184499999 20.7979977),WHEAT
POINT (72.72384758500002 24.166669070000005),WHEAT
POINT (70.90834774 20.770539635),WHEAT
POINT (72.80574266499998 24.19028927),WHEAT
POINT (72.87457854499999 24.208700990000004),WHEAT
POINT (72.92374476 24.20085911),WHEAT
POINT (70.19376088000001 21.513381179999993),Wheat
POINT (70.19608348 21.508208930000002),Wheat
POINT (70.98746834000002 20.807317255000005),WHEAT
POINT (72.95094028000001 24.286957255000004),WHEAT
POINT (70.71484118999999 21.53347535),WHEAT
POINT (70.72451667500002 21.478839989999994),WHEAT
POINT (71.44600241666664 22.97352949999999),wheat
POINT (71.44587000000001 22.973545333333334),wheat
POINT (71.44576600000002 22.973525000000002),wheat
POINT (71.44580641666664 22.973566583333337),wheat
POINT (71.4456503333333 22.97376258333334),wheat
POINT (71.44566325000001 22.97370716666666),wheat
POINT (71.44593808333337 22.974254166666675),wheat
POINT (70.73738104 21.445612985000004),WHEAT
POINT (71.44606391666667 22.974366583333325),wheat
POINT (71.44617183333334 22.974461083333345),wheat
POINT (71.4463764166667 22.974641333333345),wheat
POINT (71.446376 22.974712333333333),wheat
POINT (71.4465305833333 22.97499866666668),wheat
POINT (70.74762199 21.397986955000004),WHEAT
POINT (72.75728968000001 24.183327775000002),WHEAT
POINT (72.71277071 24.160605959999998),WHEAT
POINT (72.671541335 24.14195240499999),WHEAT
POINT (70.74484036499999 21.434750315000002),WHEAT
POINT (71.068076745 20.783630145),WHEAT
POINT (71.05582313999999 20.868671300000006),WHEAT
POINT (72.93174856 23.29892026000001),Wheat
POINT (72.38242649500003 23.676434579999995),Wheat
POINT (72.38368934000002 23.683371825000012),Wheat
POINT (72.38038123000001 23.716723255000005),Wheat
